iter	Passed	Remaining
0	53	53771
1	82	41372
2	103	34550
3	119	29799
4	134	26754
5	157	26138
6	189	26825
7	208	25911
8	233	25703
9	300	29714
10	320	28813
11	350	28822
12	379	28840
13	403	28384
14	440	28958
15	470	28941
16	498	28844
17	515	28114
18	529	27331
19	545	26705
20	560	26142
21	577	25681
22	590	25078
23	600	24400
24	608	23727
25	616	23108
26	625	22555
27	634	22019
28	644	21579
29	653	21127
30	663	20737
31	672	20343
32	681	19964
33	689	19592
34	697	19233
35	707	18944
36	736	19177
37	749	18968
38	765	18856
39	774	18593
40	783	18317
41	798	18221
42	812	18080
43	831	18071
44	859	18233
45	886	18388
46	897	18194
47	906	17970
48	913	17724
49	920	17497
50	929	17293
51	937	17083
52	944	16882
53	951	16675
54	958	16471
55	965	16270
56	973	16106
57	981	15933
58	989	15779
59	999	15651
60	1002	15424
61	1011	15306
62	1019	15161
63	1035	15142
64	1050	15116
65	1059	14991
66	1067	14869
67	1076	14752
68	1085	14646
69	1094	14542
70	1107	14489
71	1136	14647
72	1175	14924
73	1190	14897
74	1202	14828
75	1217	14801
76	1226	14707
77	1240	14665
78	1249	14564
79	1262	14515
80	1276	14480
81	1289	14439
82	1299	14357
83	1309	14285
84	1324	14253
85	1339	14230
86	1350	14171
87	1358	14079
88	1369	14014
89	1382	13981
90	1391	13897
91	1404	13857
92	1413	13789
93	1422	13713
94	1433	13658
95	1443	13590
96	1458	13573
97	1469	13524
98	1477	13447
99	1485	13373
100	1495	13308
101	1506	13259
102	1520	13243
103	1540	13276
104	1553	13240
105	1570	13241
106	1603	13379
107	1623	13410
108	1641	13420
109	1654	13382
110	1697	13599
111	1723	13666
112	1734	13612
113	1749	13595
114	1766	13590
115	1774	13519
116	1783	13463
117	1790	13385
118	1797	13306
119	1803	13224
120	1813	13175
121	1822	13113
122	1830	13050
123	1836	12973
124	1844	12909
125	1850	12834
126	1857	12768
127	1864	12699
128	1870	12628
129	1876	12556
130	1882	12485
131	1887	12412
132	1893	12343
133	1898	12271
134	1905	12210
135	1912	12150
136	1921	12102
137	1927	12040
138	1935	11989
139	1943	11940
140	1952	11894
141	1961	11850
142	1970	11807
143	1977	11754
144	1984	11700
145	1995	11670
146	2008	11653
147	2019	11626
148	2029	11589
149	2040	11561
150	2047	11513
151	2060	11497
152	2073	11477
153	2080	11428
154	2091	11401
155	2106	11396
156	2115	11357
157	2126	11330
158	2136	11302
159	2143	11255
160	2162	11267
161	2175	11251
162	2184	11218
163	2191	11173
164	2202	11145
